name,placeId,_id,type,address,location
Trường Tiểu Học Tân Kiên,1abc983a010867d1c31abd2ed4259721661b3b13,ObjectId(5dadc35d5910b620d4b84eeb),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","Nguyễn Cửu Phú, Tân Kiên, Bình Chánh, Hồ Chí Minh","{""lat"":""10.7171348"",""lng"":""106.5815761""}"
Trường Tiểu Học Phạm Văn Hai,4a9d12ab374f79b07b097f205ff907d5c747c47f,ObjectId(5dadc35d5910b620d4b84eec),"[""school"",""point_of_interest"",""establishment""]","A256 Ấp 1, 1 Đường Trần Văn Giàu, Phạm Văn Hai, Bình Chánh, Hồ Chí Minh","{""lat"":""10.7714053"",""lng"":""106.5508223""}"
Binh Tri Primary School 1,068e90358562ecfb0b4a8606ee563510740bc8d3,ObjectId(5dadc35d5910b620d4b84eed),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","620, HL2, Bình Trị Đông, Bình Tân, Hồ Chí Minh","{""lat"":""10.7684662"",""lng"":""106.6105054""}"
Tan Tao A primary school,802620c59962658a1eb6e1ee3c84cc099137ce50,ObjectId(5dadc35d5910b620d4b84eee),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","KP3 Lộ Tẻ, Tân Tạo A, Bình Tân, Hồ Chí Minh","{""lat"":""10.7541774"",""lng"":""106.589968""}"
Tan Nhut Primary School,d61465fa0eddf3ff92b49359e8896943b7f8ca4c,ObjectId(5dadc35d5910b620d4b84eef),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","Ấp 2, Bình Chánh, Hồ Chí Minh","{""lat"":""10.715827"",""lng"":""106.5509855""}"
Binh Tan Primary School,762697fe0402274f6630f1047372fc6b4c682d68,ObjectId(5dadc35d5910b620d4b84ef0),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","1 Đường số 48, Tân Tạo, Bình Tân, Hồ Chí Minh","{""lat"":""10.7518453"",""lng"":""106.5980998""}"
Trường Học Mầm Non Mai Vang,075a339cdaa80477f7ffd1a6af491fc55ba4c936,ObjectId(5dadc35d5910b620d4b84ef1),"[""school"",""point_of_interest"",""establishment""]","Tân Tạo A, Bình Tân, Ho Chi Minh City","{""lat"":""10.7464578"",""lng"":""106.5886916""}"
Mầm non việt Mỹ Úc - Tên Lửa,e10f9a5f0126f5f59cece761610b28f3c9afcdc2,ObjectId(5dadc35d5910b620d4b84ef2),"[""school"",""point_of_interest"",""establishment""]","37 Vành Đai Trong, An Lạc A, Bình Tân, Hồ Chí Minh","{""lat"":""10.7429322"",""lng"":""106.6149491""}"
Schools Asia-AHS,e01080cd4761d01cf307c4523aa0d3b7e6e792e5,ObjectId(5dadc35d5910b620d4b84ef3),"[""school"",""point_of_interest"",""establishment""]","18 Cộng Hòa, Phường 12, Tân Bình, Hồ Chí Minh","{""lat"":""10.799642"",""lng"":""106.6535404""}"
Trường Tiểu Học - Trung Học Cơ Sở - THPT Hòa Bình,e518b185ee1dcbc692cd809f0ce39001ff4951ae,ObjectId(5dadc35d5910b620d4b84ef4),"[""school"",""point_of_interest"",""establishment""]","69 Trịnh Đình Thảo, Phú Trung, Tân Phú, Hồ Chí Minh","{""lat"":""10.7746824"",""lng"":""106.6361694""}"
Truong Vinh Ky Private High School,9746b128f2044cbf3f346c95286ac5bbfccca9d9,ObjectId(5dadc35d5910b620d4b84ef5),"[""school"",""point_of_interest"",""establishment""]","21 Trịnh Đình Trọng, Phường 5, Quận 11, Hồ Chí Minh","{""lat"":""10.7750844"",""lng"":""106.646388""}"
Lawrence S.Ting School,faf4673d8443de3be1bab8ac9e85a2b6b8e561d3,ObjectId(5dadc35d5910b620d4b84ef6),"[""school"",""point_of_interest"",""establishment""]","80 Nguyễn Đức Cảnh, Tân Phong, Quận 7, Hồ Chí Minh","{""lat"":""10.7216074"",""lng"":""106.7103338""}"
Hệ thống trường Quốc tế Học Viện Anh Quốc - UK Academy (Bình Thạnh),a584cc3729dc3d4a3164a39864325c00e316062e,ObjectId(5dadc35d5910b620d4b84ef7),"[""school"",""point_of_interest"",""establishment""]","35 Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh","{""lat"":""10.7900406"",""lng"":""106.7171034""}"
Complex Hung Hau - Van Hien University,ed2ff8c53ae2ca7cc1c890ef88d246f3f833d79f,ObjectId(5dadc35d5910b620d4b84ef8),"[""school"",""point_of_interest"",""establishment""]","1004 Âu Cơ, Phú Trung, Tân Phú, Hồ Chí Minh","{""lat"":""10.7846895"",""lng"":""106.6420135""}"
Trường Quốc tế Á Châu (Cao Thắng Campus),f773f4d0d256bb93ef68bf8d95e88afb39ea03ec,ObjectId(5dadc35d5910b620d4b84ef9),"[""school"",""point_of_interest"",""establishment""]","177 Bis 2, Cao Thắng, Phường 12, Quận 10, Hồ Chí Minh","{""lat"":""10.7746431"",""lng"":""106.6749782""}"
"Trường Tiểu học, THCS, THPT Việt Mỹ",124e9bbf25a771486f5bd23cd412f37f197c649d,ObjectId(5dadc35d5910b620d4b84efa),"[""school"",""point_of_interest"",""establishment""]","242, Phường 12 Cộng Hòa, Phường 12 Cộng Hòa, Phường 12, Tân Bình, Hồ Chí Minh","{""lat"":""10.8022194"",""lng"":""106.6497602""}"
Đại Học Văn Hiến,6062a7ceaeb5678b2db434f797fe93253de6e8e4,ObjectId(5dadc35d5910b620d4b84efb),"[""school"",""point_of_interest"",""establishment""]","613 Âu Cơ, Phú Trung, Tân Phú, Hồ Chí Minh","{""lat"":""10.7839427"",""lng"":""106.6407442""}"
Trường Đại học Văn Hiến,ed9d29878e791e48fb836313a56cf829276b7474,ObjectId(5dadc35d5910b620d4b84efc),"[""school"",""point_of_interest"",""establishment""]","642 Âu Cơ, Phường 13, Tân Bình, Hồ Chí Minh","{""lat"":""10.786392"",""lng"":""106.6414589""}"
Vo Thi Sau Primary School,84c14d4d62057a196a234200a78b2040eebc4fc5,ObjectId(5dadc35d5910b620d4b84efd),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","343 Nguyễn Sơn, Phú Thạnh, Tân Phú, Hồ Chí Minh","{""lat"":""10.7842523"",""lng"":""106.6211259""}"
The Asian International School,a83a721ba718cee265353fb661398740854efc6e,ObjectId(5dadc35d5910b620d4b84efe),"[""school"",""point_of_interest"",""establishment""]","Phường 12 Tân Bình, 156/20 Cộng Hòa, Phường 12, Tân Bình, Hồ Chí Minh","{""lat"":""10.7996456"",""lng"":""106.65358""}"
Ho Chi Minh City,04625769fd933612c8619246ef022a7c73dc794a,ObjectId(5db262a0c7db8a0864731aff),"[""locality"",""political""]","Ho Chi Minh City, Vietnam","{""lat"":""10.8230989"",""lng"":""106.6296638""}"
Hiệp Bình Phước,f4c239d94e1a841b8efa4005e592265249d2bc0a,ObjectId(5db262a0c7db8a0864731b00),"[""sublocality_level_1"",""sublocality"",""political""]","Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh, Vietnam","{""lat"":""10.8455467"",""lng"":""106.7146184""}"
